fecha,demanda_MWh
2015-09-23,725527.873
2015-09-24,716022.639
2015-09-25,713482.173
2015-09-26,641495.081
2015-09-27,588066.446
2015-09-28,699250.72
2015-09-29,712306.712
2015-09-30,709938.298
2015-10-01,710340.362
2015-10-02,710143.781
2015-10-03,637119.214
2015-10-04,591918.854
2015-10-05,714002.393
2015-10-06,721391.469
2015-10-07,712141.884
2015-10-08,708634.682
2015-10-09,689071.367
2015-10-10,624383.868
2015-10-11,577053.306
2015-10-12,591151.662
2015-10-13,693736.095
2015-10-14,702326.943
2015-10-15,701629.47
2015-10-16,702415.798
2015-10-17,634734.343
2015-10-18,585855.092
2015-10-19,701795.134
2015-10-20,714150.506
2015-10-21,708063.51
2015-10-22,706492.648
2015-10-23,705365.625
2015-10-24,632451.637
2015-10-25,606248.24
2015-10-26,698714.377
2015-10-27,714045.704
2015-10-28,712968.78
2015-10-29,713797.41
2015-10-30,705347.426
2015-10-31,631421.414
2015-11-01,577443.778
2015-11-02,662810.755
2015-11-03,713156.063
2015-11-04,717848.047
2015-11-05,712966.18
2015-11-06,709440.852
2015-11-07,631290.114
2015-11-08,580730.06
2015-11-09,682737.263
2015-11-10,708284.438
2015-11-11,712159.923
2015-11-12,714782.597
2015-11-13,714253.807
2015-11-14,635005.213
2015-11-15,590681.619
2015-11-16,710388.594
2015-11-17,732321.9
2015-11-18,734600.621
2015-11-19,729865.477
2015-11-20,727648.544
2015-11-21,658982.079
2015-11-22,621390.199
2015-11-23,761047.095
2015-11-24,792667.153
2015-11-25,786283.895
2015-11-26,777027.662
2015-11-27,765601.74
2015-11-28,688310.998
2015-11-29,640782.551
2015-11-30,771609.629
2015-12-01,790099.773
2015-12-02,791699.766
2015-12-03,783002.667
2015-12-04,771917.122
2015-12-05,695778.905
2015-12-06,640414.626
2015-12-07,677337.078
2015-12-08,648186.832
2015-12-09,756864.691
2015-12-10,773300.04
2015-12-11,773033.866
2015-12-12,701968.104
2015-12-13,657019.376
2015-12-14,776425.684
2015-12-15,780963.44
2015-12-16,772292.239
2015-12-17,770585.858
2015-12-18,755427.25
2015-12-19,688717.004
2015-12-20,640402.405
2015-12-21,744705.501
2015-12-22,753394.497
2015-12-23,737145.724
2015-12-24,649621.947
2015-12-25,552928.567
2015-12-26,609671.374
2015-12-27,607423.494
2015-12-28,691856.429
2015-12-29,688847.584
2015-12-30,686469.667
2015-12-31,635232.317
2016-01-01,549334.251
2016-01-02,614370.924
2016-01-03,619728.026
2016-01-04,704966.605
2016-01-05,701386.909
2016-01-06,619994.074
2016-01-07,749294.848
2016-01-08,750160.278
2016-01-09,685100.337
2016-01-10,648714.619
2016-01-11,761504.75
2016-01-12,778891.307
2016-01-13,795087.713
2016-01-14,802427.396
2016-01-15,796846.21
2016-01-16,726141.03
2016-01-17,690103.083
2016-01-18,809652.278
2016-01-19,817453.121
2016-01-20,812592.743
2016-01-21,810913.591
2016-01-22,797248.912
2016-01-23,704774.445
2016-01-24,649539.394
2016-01-25,764530.819
2016-01-26,783129.126
2016-01-27,782454.402
2016-01-28,781220.285
2016-01-29,776149.051
2016-01-30,701070.736
2016-01-31,648243.321
2016-02-01,755604.833
2016-02-02,771162.157
2016-02-03,774920.755
2016-02-04,779636.335
2016-02-05,778440.4
2016-02-06,708475.865
2016-02-07,654892.273
2016-02-08,764576.899
2016-02-09,776296.4
2016-02-10,779057.216
2016-02-11,770145.265
2016-02-12,772155.474
2016-02-13,694719.829
2016-02-14,648984.261
2016-02-15,783874.49
2016-02-16,804822.875
2016-02-17,819617.781
2016-02-18,823891.322
2016-02-19,809709.545
2016-02-20,719890.582
2016-02-21,661995.391
2016-02-22,769236.13
2016-02-23,775844.287
2016-02-24,782909.849
2016-02-25,773022.654
2016-02-26,787433.867
2016-02-27,730652.05
2016-02-28,671872.845
2016-02-29,766564.788
2016-03-01,782435.271
2016-03-02,780440.745
2016-03-03,776053.071
2016-03-04,776287.283
2016-03-05,701814.836
2016-03-06,657322.151
2016-03-07,797057.198
2016-03-08,800620.964
2016-03-09,813456.131
2016-03-10,806943.774
2016-03-11,790478.931
2016-03-12,707083.567
2016-03-13,655003.476
2016-03-14,780217.235
2016-03-15,792756.102
2016-03-16,788127.677
2016-03-17,785951.92
2016-03-18,776984.922
2016-03-19,695002.995
2016-03-20,644667.695
2016-03-21,758215.411
2016-03-22,758874.659
2016-03-23,742133.988
2016-03-24,645171.744
2016-03-25,601008.215
2016-03-26,622066.484
2016-03-27,563666.749
2016-03-28,652080.331
2016-03-29,717409.352
2016-03-30,722449.298
2016-03-31,737927.173
2016-04-01,741458.89
2016-04-02,672655.24
2016-04-03,629069.4
2016-04-04,744085.306
2016-04-05,760497.377
2016-04-06,745920.411
2016-04-07,738810.264
2016-04-08,741091.847
2016-04-09,663840.188
2016-04-10,618589.05
2016-04-11,733820.471
2016-04-12,749723.748
2016-04-13,737981.093
2016-04-14,734656.04
2016-04-15,725628.052
2016-04-16,656666.187
2016-04-17,600865.508
2016-04-18,708728.644
2016-04-19,730879.617
2016-04-20,734992.037
2016-04-21,725975.418
2016-04-22,718425.772
2016-04-23,639355.867
2016-04-24,588258.41
2016-04-25,696704.796
2016-04-26,710869.658
2016-04-27,717645.536
2016-04-28,717950.891
2016-04-29,713568.969
2016-04-30,637483.106
2016-05-01,563400.989
2016-05-02,643269.665
2016-05-03,700908.897
2016-05-04,706336.716
2016-05-05,709504.363
2016-05-06,710229.085
2016-05-07,639234.355
2016-05-08,593675.127
2016-05-09,705132.32
2016-05-10,720107.983
2016-05-11,718238.093
2016-05-12,717601.264
2016-05-13,711552.092
2016-05-14,635350.364
2016-05-15,579221.135
2016-05-16,650838.585
2016-05-17,692297.232
2016-05-18,707385.95
2016-05-19,706583.408
2016-05-20,707601.689
2016-05-21,641344.714
2016-05-22,589691.238
2016-05-23,688905.12
2016-05-24,706604.309
2016-05-25,712517.096
2016-05-26,709833.502
2016-05-27,709426.086
2016-05-28,641484.124
2016-05-29,584034.921
2016-05-30,687161.189
2016-05-31,704587.279
2016-06-01,709821.213
2016-06-02,714223.82
2016-06-03,716319.971
2016-06-04,646944.397
2016-06-05,597053.3
2016-06-06,713229.237
2016-06-07,742877.039
2016-06-08,757700.186
2016-06-09,768283.205
2016-06-10,757204.213
2016-06-11,673474.394
2016-06-12,618100.688
2016-06-13,757302.953
2016-06-14,769256.56
2016-06-15,756149.223
2016-06-16,719361.642
2016-06-17,713638.415
2016-06-18,653385.417
2016-06-19,601705.707
