modelo,ano_test,timestamp,real,pred
naive_hd,2018,2018-01-04 07:00:00,28858.0,28718.859872611465
naive_hd,2018,2018-01-04 08:00:00,31007.0,30839.496815286624
naive_hd,2018,2018-01-04 09:00:00,32604.0,32092.62738853503
naive_hd,2018,2018-01-04 10:00:00,33418.0,32948.76433121019
naive_hd,2018,2018-01-04 11:00:00,33559.0,33216.732484076434
naive_hd,2018,2018-01-04 12:00:00,33349.0,33431.012738853504
naive_hd,2018,2018-01-04 13:00:00,33324.0,33461.72611464968
naive_hd,2018,2018-01-04 14:00:00,32391.0,32504.057324840764
naive_hd,2018,2018-01-04 15:00:00,31693.0,31889.71974522293
naive_hd,2018,2018-01-04 16:00:00,31326.0,31761.68152866242
naive_hd,2018,2018-01-04 17:00:00,31413.0,31924.216560509554
naive_hd,2018,2018-01-04 18:00:00,32976.0,32300.254777070062
naive_hd,2018,2018-01-04 19:00:00,33437.0,32791.03821656051
naive_hd,2018,2018-01-04 20:00:00,33461.0,33251.74522292994
naive_hd,2018,2018-01-04 21:00:00,33056.0,33174.81847133758
naive_hd,2018,2018-01-04 22:00:00,31102.0,31213.783439490446
naive_hd,2018,2018-01-04 23:00:00,28626.0,28653.15923566879
naive_hd,2018,2018-01-05 00:00:00,26733.0,26846.146496815287
naive_hd,2018,2018-01-05 01:00:00,24878.0,25134.140127388535
naive_hd,2018,2018-01-05 02:00:00,23584.0,23998.07643312102
naive_hd,2018,2018-01-05 03:00:00,23014.0,23479.554140127388
naive_hd,2018,2018-01-05 04:00:00,22802.0,23303.76433121019
naive_hd,2018,2018-01-05 05:00:00,23141.0,23690.43312101911
naive_hd,2018,2018-01-05 06:00:00,24878.0,25603.146496815287
naive_hd,2018,2018-01-05 07:00:00,27954.0,28591.691082802547
naive_hd,2018,2018-01-05 08:00:00,29972.0,30689.114649681527
naive_hd,2018,2018-01-05 09:00:00,31666.0,32031.44904458599
naive_hd,2018,2018-01-05 10:00:00,32685.0,32829.83439490446
naive_hd,2018,2018-01-05 11:00:00,32938.0,33106.68152866242
naive_hd,2018,2018-01-05 12:00:00,32688.0,33278.15569709837
naive_hd,2018,2018-01-05 13:00:00,32605.0,33271.056617126684
naive_hd,2018,2018-01-05 14:00:00,31278.0,32238.53078556263
naive_hd,2018,2018-01-05 15:00:00,30103.0,31434.81387119604
naive_hd,2018,2018-01-05 16:00:00,29527.0,31164.338995046
naive_hd,2018,2018-01-05 17:00:00,29577.0,31201.182590233548
naive_hd,2018,2018-01-05 18:00:00,30530.0,31523.70771408351
naive_hd,2018,2018-01-05 19:00:00,30552.0,31959.322009908
naive_hd,2018,2018-01-05 20:00:00,30691.0,32271.40127388535
naive_hd,2018,2018-01-05 21:00:00,30420.0,32195.694267515923
naive_hd,2018,2018-01-05 22:00:00,28961.0,30484.585987261147
naive_hd,2018,2018-01-05 23:00:00,27068.0,28304.8025477707
naive_hd,2018,2018-01-06 00:00:00,25567.0,26719.248407643314
naive_hd,2018,2018-01-06 01:00:00,23700.0,25016.343949044585
naive_hd,2018,2018-01-06 02:00:00,22281.0,23691.1974522293
naive_hd,2018,2018-01-06 03:00:00,21391.0,22965.76433121019
naive_hd,2018,2018-01-06 04:00:00,21047.0,22586.649681528663
naive_hd,2018,2018-01-06 05:00:00,20991.0,22440.630573248407
naive_hd,2018,2018-01-06 06:00:00,21178.0,22805.012738853504
naive_hd,2018,2018-01-06 07:00:00,21855.0,23616.783439490446
naive_hd,2018,2018-01-06 08:00:00,22469.0,25031.420382165605
naive_hd,2018,2018-01-06 09:00:00,24253.0,27344.936305732484
naive_hd,2018,2018-01-06 10:00:00,26528.0,29084.8025477707
naive_hd,2018,2018-01-06 11:00:00,27602.0,29544.267515923566
naive_hd,2018,2018-01-06 12:00:00,27678.0,29523.59872611465
naive_hd,2018,2018-01-06 13:00:00,27281.0,29638.133757961783
naive_hd,2018,2018-01-06 14:00:00,26784.0,29021.140127388535
naive_hd,2018,2018-01-06 15:00:00,25351.0,27894.445859872612
naive_hd,2018,2018-01-06 16:00:00,24822.0,27205.35668789809
naive_hd,2018,2018-01-06 17:00:00,25178.0,27088.66878980892
naive_hd,2018,2018-01-06 18:00:00,27240.0,27709.242038216562
naive_hd,2018,2018-01-06 19:00:00,28394.0,28469.87261146497
naive_hd,2018,2018-01-06 20:00:00,29055.0,29217.573248407643
naive_hd,2018,2018-01-06 21:00:00,29432.0,29696.108280254775
naive_hd,2018,2018-01-06 22:00:00,28963.0,28591.707006369426
naive_hd,2018,2018-01-06 23:00:00,27330.0,26786.700636942674
naive_hd,2018,2018-01-07 00:00:00,25450.0,25004.05095541401
naive_hd,2018,2018-01-07 01:00:00,23662.0,23316.114649681527
naive_hd,2018,2018-01-07 02:00:00,22130.0,22072.248407643314
naive_hd,2018,2018-01-07 03:00:00,21250.0,21330.394904458597
naive_hd,2018,2018-01-07 04:00:00,20994.0,20964.225053503185
naive_hd,2018,2018-01-07 05:00:00,20974.0,20878.768577070063
naive_hd,2018,2018-01-07 06:00:00,21423.0,21047.20382165605
naive_hd,2018,2018-01-07 07:00:00,22259.0,21241.31210191083
naive_hd,2018,2018-01-07 08:00:00,22981.0,21858.541401273884
naive_hd,2018,2018-01-07 09:00:00,24643.0,23626.821656050954
naive_hd,2018,2018-01-07 10:00:00,26939.0,25313.76433121019
naive_hd,2018,2018-01-07 11:00:00,28050.0,26153.31210191083
naive_hd,2018,2018-01-07 12:00:00,28642.0,26408.821656050954
