fecha,real_MWh,pred_sarimax,pred_chronos2,error_sarimax,error_chronos2
2024-01-01,22353571.734,21953449.809987694,22554610.0,400121.9240123071,-201038.2659999989
2024-02-01,20335524.431,20113873.32531178,20463550.0,221651.10568822175,-128025.56899999827
2024-03-01,20714646.058,21456787.976819143,21133214.0,-742141.9188191444,-418567.94200000167
2024-04-01,19297307.065,19294867.163750798,19066794.0,2439.901249203831,230513.06500000134
2024-05-01,19541304.511,19858907.589042906,19616560.0,-317603.0780429058,-75255.48900000006
2024-06-01,19647475.567,19726941.365573138,20498932.0,-79465.79857313633,-851456.4329999983
2024-07-01,22776696.191,22952846.137248117,22731968.0,-176149.94624811783,44728.19099999964
2024-08-01,22457895.434,22327914.31544487,21895406.0,129981.11855512857,562489.4340000004
2024-09-01,19951121.613,20031429.411740802,20332816.0,-80307.79874080047,-381694.38699999824
2024-10-01,20340919.009,20302901.855299983,20114672.0,38017.15370001644,226247.0089999996
2024-11-01,19908555.216,20394623.206948485,20383036.0,-486067.9909484871,-474480.78400000185
2024-12-01,21674632.33,21766185.201162748,21564930.0,-91552.87116274983,109702.32999999821
2025-01-01,22938402.648,22654470.143128917,22776328.0,283932.50487108156,162074.64799999818
2025-02-01,20264278.732,20934781.334317524,20586184.0,-670502.6023175232,-321905.2679999992
2025-03-01,21873142.114,22521889.257513385,21353896.0,-648747.1435133852,519246.11400000006
2025-04-01,18774342.998,19785499.611699052,19222664.0,-1011156.6136990525,-448321.0020000003
2025-05-01,19552211.448,20680583.90964083,19984226.0,-1128372.461640831,-432014.5520000011
2025-06-01,21828642.151,22694591.088414855,20819936.0,-865948.9374148548,1008706.1510000005
2025-07-01,23484214.113,23431665.009132147,23020502.0,52549.10386785492,463712.11300000176
2025-08-01,22275152.603,23181754.444678154,22050132.0,-906601.8416781537,225020.60300000012
2025-09-01,20839861.397,21324920.386066157,20448774.0,-485058.9890661575,391087.3969999999
2025-10-01,20459806.862,20509863.375265494,20173310.0,-50056.51326549426,286496.86199999973
2025-11-01,21098962.566,21444716.236328937,20595406.0,-345753.6703289375,503556.56599999964
2025-12-01,22697453.736,22126240.295055196,21707764.0,571213.4409448057,989689.7360000014
