modalidad,iter,ano_test,fecha,real,pred,error,train_ini,train_fin,n_train
expanding,5,2024,2024-03-01,20714646.058,21456787.976819143,-742141.9188191444,2015-01-01,2023-12-01,108
expanding,5,2024,2024-04-01,19297307.065,19294867.163750798,2439.901249203831,2015-01-01,2023-12-01,108
expanding,5,2024,2024-05-01,19541304.511,19858907.589042906,-317603.0780429058,2015-01-01,2023-12-01,108
expanding,5,2024,2024-06-01,19647475.567,19726941.365573138,-79465.79857313633,2015-01-01,2023-12-01,108
expanding,5,2024,2024-07-01,22776696.191,22952846.137248117,-176149.94624811783,2015-01-01,2023-12-01,108
expanding,5,2024,2024-08-01,22457895.434,22327914.31544487,129981.11855512857,2015-01-01,2023-12-01,108
expanding,5,2024,2024-09-01,19951121.613,20031429.411740802,-80307.79874080047,2015-01-01,2023-12-01,108
expanding,5,2024,2024-10-01,20340919.009,20302901.855299983,38017.15370001644,2015-01-01,2023-12-01,108
expanding,5,2024,2024-11-01,19908555.216,20394623.206948485,-486067.9909484871,2015-01-01,2023-12-01,108
expanding,5,2024,2024-12-01,21674632.33,21766185.201162748,-91552.87116274983,2015-01-01,2023-12-01,108
expanding,6,2025,2025-01-01,22938402.648,22940077.271332595,-1674.6233325973153,2015-01-01,2024-12-01,120
expanding,6,2025,2025-02-01,20264278.732,21100131.79329664,-835853.0612966381,2015-01-01,2024-12-01,120
expanding,6,2025,2025-03-01,21873142.114,21873992.12641347,-850.0124134682119,2015-01-01,2024-12-01,120
expanding,6,2025,2025-04-01,18774342.998,19785764.725499976,-1011421.7274999768,2015-01-01,2024-12-01,120
expanding,6,2025,2025-05-01,19552211.448,20402821.925019935,-850610.4770199358,2015-01-01,2024-12-01,120
expanding,6,2025,2025-06-01,21828642.151,22601197.7503544,-772555.5993544012,2015-01-01,2024-12-01,120
expanding,6,2025,2025-07-01,23484214.113,23267587.63449523,216626.47850477323,2015-01-01,2024-12-01,120
expanding,6,2025,2025-08-01,22275152.603,23280889.216448154,-1005736.6134481542,2015-01-01,2024-12-01,120
expanding,6,2025,2025-09-01,20839861.397,21225269.11736138,-385407.72036138177,2015-01-01,2024-12-01,120
expanding,6,2025,2025-10-01,20459806.862,20517695.325688753,-57888.463688753545,2015-01-01,2024-12-01,120
