ano_test,fecha,real,pred_ens_actual,pred_chronos2,pred_50_50
2020,2020-01-01,574776.72,654001.4676325306,586837.625,620419.5463162654
2020,2020-01-02,723522.375,776345.5958971897,765955.0,771150.2979485949
2020,2020-01-03,754645.342,789156.6300827047,769111.6875,779134.1587913523
2020,2020-01-04,702390.878,707109.3425640374,690876.6875,698993.0150320188
2020,2020-01-05,651967.486,654691.2932300298,644833.625,649762.4591150149
2020,2020-01-06,630259.532,690511.5443598024,654393.8125,672452.6784299011
2020,2020-01-07,789031.621,804993.1705313971,789810.6875,797401.9290156986
2020,2020-01-08,820143.678,816304.3344685148,805213.75,810759.0422342573
2020,2020-01-09,820769.614,823295.5912405591,819232.5625,821264.0768702796
2020,2020-01-10,814759.827,821061.1828298027,805142.0625,813101.6226649014
2020,2020-01-11,732531.725,750862.3653582237,737386.1875,744124.2764291118
2020,2020-01-12,693449.101,704507.8316454428,703010.875,703759.3533227213
2020,2020-01-13,829157.906,829252.6359906906,816717.5,822985.0679953452
2020,2020-01-14,844416.079,841214.7029979544,833304.875,837259.7889989773
2020,2020-01-15,832910.293,830455.2799380529,839098.5,834776.8899690264
2020,2020-01-16,822827.255,825165.8757321391,832828.625,828997.2503660696
2020,2020-01-17,807653.787,819897.047121943,819468.625,819682.8360609715
2020,2020-01-18,729673.024,740157.6078757797,736459.625,738308.6164378899
2020,2020-01-19,689820.886,699389.1550688284,682582.0,690985.5775344141
2020,2020-01-20,846106.888,825620.1775679806,818222.6875,821921.4325339904
2020,2020-01-21,862132.604,843717.6440099148,824995.625,834356.6345049574
2020,2020-01-22,841706.187,835479.125523036,829126.0,832302.5627615179
2020,2020-01-23,829427.103,830630.5224880371,826498.25,828564.3862440186
2020,2020-01-24,821136.183,821453.8992008033,817921.375,819687.6371004016
2020,2020-01-25,734265.345,733635.5648035706,733777.3125,733706.4386517853
2020,2020-01-26,676369.262,684287.6956441541,675107.75,679697.7228220771
2020,2020-01-27,807615.701,809279.886430868,791489.625,800384.755715434
2020,2020-01-28,807001.677,815929.0977794649,788221.375,802075.2363897325
2020,2020-01-29,792162.501,814158.6768169281,788312.4375,801235.5571584641
2020,2020-01-30,778203.546,808687.2911492982,781567.0625,795127.1768246491
2020,2020-01-31,765448.598,790047.3020423991,761565.5,775806.4010211995
2020,2020-02-01,681471.943,711374.9609796078,675974.75,693674.855489804
2020,2020-02-02,625016.468,660963.080572488,630904.8125,645933.946536244
2020,2020-02-03,729329.082,775974.6495147137,741370.75,758672.6997573569
2020,2020-02-04,747892.827,790680.0406532194,764706.0625,777693.0515766097
2020,2020-02-05,758987.788,792776.9006561491,779620.9375,786198.9190780746
2020,2020-02-06,769754.643,799917.0601629777,783171.875,791544.4675814889
2020,2020-02-07,772488.589,790996.2301058756,776361.5625,783678.8963029378
2020,2020-02-08,698199.59,708490.0605361474,706177.3125,707333.6865180738
2020,2020-02-09,646787.156,658747.4825656977,653191.0,655969.2412828489
2020,2020-02-10,749504.414,760236.6905935458,750421.875,755329.2827967729
2020,2020-02-11,761008.347,779835.4294629353,770236.625,775036.0272314677
2020,2020-02-12,766558.356,779616.3048913522,773161.0,776388.652445676
2020,2020-02-13,759532.177,772351.9649016819,767951.9375,770151.951200841
2020,2020-02-14,753954.141,774414.8641859087,764382.0,769398.4320929544
2020,2020-02-15,675832.097,692421.522861303,692030.9375,692226.2301806514
2020,2020-02-16,625453.407,643912.789907473,636476.25,640194.5199537366
2020,2020-02-17,739797.699,756578.0742727686,743127.5,749852.7871363843
2020,2020-02-18,766371.869,772600.4887570668,767639.1875,770119.8381285334
2020,2020-02-19,764941.248,775268.0104326667,771285.8125,773276.9114663333
2020,2020-02-20,763651.659,776411.5377797423,769437.6875,772924.6126398712
2020,2020-02-21,753744.734,768373.2973670904,757952.125,763162.7111835452
2020,2020-02-22,672072.47,685931.2070280245,684658.375,685294.7910140122
2020,2020-02-23,620872.08,636931.6208919933,629104.25,633017.9354459967
2020,2020-02-24,730827.761,753487.3807572104,736063.0625,744775.2216286052
2020,2020-02-25,743820.753,761272.7388011139,753950.3125,757611.5256505569
2020,2020-02-26,753405.313,760687.1886350987,755691.8125,758189.5005675494
2020,2020-02-27,751137.432,749859.0420081563,753164.0,751511.5210040782
2020,2020-02-28,728292.593,745735.6391959703,747566.125,746650.8820979851
2020,2020-02-29,670263.321,670352.3069054439,672843.5,671597.9034527219
2020,2020-03-01,626873.694,620154.6151604994,617214.375,618684.4950802496
2020,2020-03-02,741296.331,731836.4850595692,732034.5625,731935.5237797846
2020,2020-03-03,769321.188,757181.5491464221,750774.75,753978.1495732111
2020,2020-03-04,759058.244,752301.0296175802,750758.3125,751529.6710587901
2020,2020-03-05,754365.164,749024.5560389111,750971.875,749998.2155194555
2020,2020-03-06,757995.483,758755.9846609072,748996.0,753875.9923304536
2020,2020-03-07,683532.439,674037.2212590511,670133.1875,672085.2043795255
2020,2020-03-08,630442.877,626025.2366739237,622512.625,624268.9308369618
2020,2020-03-09,740417.533,726967.4794576372,718065.75,722516.6147288186
2020,2020-03-10,747566.521,739550.0106247527,737097.5,738323.7553123764
2020,2020-03-11,742561.392,739409.7260208419,736962.375,738186.0505104209
2020,2020-03-12,738088.907,736537.050825341,737504.75,737020.9004126706
2020,2020-03-13,729774.542,732445.7495912154,733842.5625,733144.1560456078
2020,2020-03-14,646497.547,649725.1119553879,652277.875,651001.493477694
2020,2020-03-15,600435.811,602569.0440899194,611546.25,607057.6470449597
2020,2020-03-16,704124.264,718181.4150542683,728672.8125,723427.1137771341
2020,2020-03-17,706050.583,721099.9369127414,742406.9375,731753.4372063708
2020,2020-03-18,684799.07,729895.1867071101,747380.0,738637.5933535551
2020,2020-03-19,641992.028,729379.36303502,746024.0,737701.68151751
2020,2020-03-20,647058.248,732399.6098082397,742453.6875,737426.6486541198
2020,2020-03-21,612492.101,665703.5886543324,666468.125,666085.8568271662
2020,2020-03-22,583510.909,616031.1370109098,625219.125,620625.1310054549
2020,2020-03-23,653558.582,728441.1110011629,734842.5625,731641.8367505814
2020,2020-03-24,663819.764,735281.6782766326,754541.25,744911.4641383162
2020,2020-03-25,664643.791,739260.5120526273,762733.75,750997.1310263136
2020,2020-03-26,661338.324,740264.6537760965,768877.125,754570.8893880483
2020,2020-03-27,667335.755,751688.7731152881,763108.25,757398.511557644
2020,2020-03-28,605617.221,661198.6529039402,693661.375,677430.01395197
2020,2020-03-29,540515.04,607241.0183388927,641964.0,624602.5091694463
2020,2020-03-30,610996.075,742188.2707521751,757875.25,750031.7603760876
2020,2020-03-31,610653.934,764477.5945775645,776834.1875,770655.8910387822
2020,2020-04-01,599875.958,749803.9683233615,779592.3125,764698.1404116808
2020,2020-04-02,599323.162,746607.7311653526,778067.625,762337.6780826764
2020,2020-04-03,584683.694,741446.9687826555,766582.375,754014.6718913277
2020,2020-04-04,542996.041,671904.2961494672,679600.5625,675752.4293247336
2020,2020-04-05,519594.376,619594.7162141538,625352.6875,622473.701857077
2020,2020-04-06,568143.84,731502.7316079832,720189.125,725845.9283039917
2020,2020-04-07,567082.621,744117.1971137704,736556.125,740336.6610568853
2020,2020-04-08,555027.089,740478.3967185341,732989.4375,736733.9171092671
2020,2020-04-09,529824.736,735367.9289196433,718807.75,727087.8394598216
2020,2020-04-10,510435.49,650562.5530308915,610409.375,630485.9640154457
2020,2020-04-11,518229.908,643386.0444889357,648203.9375,645794.9909944679
2020,2020-04-12,501615.48,589905.6362474002,568824.875,579365.2556237001
2020,2020-04-13,537818.991,693096.6900701256,686651.375,689874.0325350629
2020,2020-04-14,584017.243,706422.1133469394,712547.5625,709484.8379234697
2020,2020-04-15,604347.185,706993.5813879858,716865.6875,711929.634443993
2020,2020-04-16,604521.525,680744.5659161751,710738.0625,695741.3142080875
2020,2020-04-17,598697.568,663999.602070035,705881.0625,684940.3322850175
2020,2020-04-18,552914.776,616819.8995305919,631572.75,624196.324765296
2020,2020-04-19,520123.268,576280.6387271298,578594.875,577437.756863565
2020,2020-04-20,585331.059,662911.370452172,684010.25,673460.8102260861
2020,2020-04-21,608880.705,696914.7237671587,709740.4375,703327.5806335793
2020,2020-04-22,608023.375,713922.2792169069,714377.75,714150.0146084535
2020,2020-04-23,599598.011,711870.2260026386,713203.6875,712536.9567513193
2020,2020-04-24,594661.984,705810.6634638204,696390.6875,701100.6754819101
2020,2020-04-25,556038.735,633540.4546269561,629834.0625,631687.258563478
2020,2020-04-26,522374.953,577071.2723541516,570524.0625,573797.6674270758
2020,2020-04-27,590579.965,676906.4614325641,676380.25,676643.355716282
2020,2020-04-28,601203.105,698681.7162206516,692984.0625,695832.8893603259
2020,2020-04-29,600234.68,659785.554215497,701256.5,680521.0271077484
2020,2020-04-30,594712.471,686438.9735108269,704702.4375,695570.7055054135
2020,2020-05-01,525344.189,619674.5090025923,631381.625,625528.0670012962
2020,2020-05-02,529331.136,627926.5913646681,633100.25,630513.4206823341
2020,2020-05-03,509365.967,577150.7566027314,553041.5,565096.1283013658
2020,2020-05-04,585884.404,685033.8025018843,676864.0,680948.9012509421
2020,2020-05-05,607115.027,709610.3440317045,696161.8125,702886.0782658523
2020,2020-05-06,610199.36,713573.2918320444,700503.6875,707038.4896660221
2020,2020-05-07,604624.142,713183.8923298944,702143.375,707663.6336649472
2020,2020-05-08,597179.788,708672.822750838,698589.3125,703631.067625419
2020,2020-05-09,547084.706,636980.1803765147,626924.1875,631952.1839382574
2020,2020-05-10,513399.456,585719.5909746155,577499.8125,581609.7017373077
2020,2020-05-11,591350.652,692670.6347238146,681555.875,687113.2548619073
2020,2020-05-12,617479.021,715491.4480291718,706820.625,711156.0365145858
2020,2020-05-13,617401.116,716344.570702049,715703.4375,716024.0041010245
2020,2020-05-14,620557.901,725064.5605781035,716372.4375,720718.4990390518
2020,2020-05-15,608952.25,717959.2564123987,712875.25,715417.2532061993
2020,2020-05-16,555670.934,639614.4090230659,643005.0,641309.704511533
2020,2020-05-17,519597.946,585868.7728810554,589766.8125,587817.7926905276
2020,2020-05-18,596670.207,690478.7242335406,687087.875,688783.2996167704
