fecha,temp_media_C,HDD18,CDD22
2015-01-01,6.952,342.487,0.0
2015-02-01,7.523,293.349,0.0
2015-03-01,11.504,201.382,0.0
2015-04-01,14.519,104.42,0.0
2015-05-01,19.743,8.709,6.36
2015-06-01,23.313,0.333,58.863
2015-07-01,27.652,0.0,175.212
2015-08-01,25.062,0.0,94.923
2015-09-01,20.371,0.109,2.522
2015-10-01,16.568,53.254,0.0
2015-11-01,12.631,161.079,0.0
2015-12-01,10.116,244.392,0.0
2016-01-01,9.669,258.259,0.0
2016-02-01,9.491,246.773,0.0
2016-03-01,10.131,243.931,0.0
2016-04-01,12.917,152.499,0.0
2016-05-01,16.417,54.827,0.0
2016-06-01,22.58,0.0,39.393
2016-07-01,26.243,0.0,131.536
2016-08-01,25.896,0.0,120.776
2016-09-01,22.772,0.02,54.231
2016-10-01,17.656,32.394,0.0
2016-11-01,11.416,197.512,0.0
2016-12-01,9.201,272.77,0.0
2017-01-01,6.766,348.25,0.0
2017-02-01,10.041,222.852,0.0
2017-03-01,12.335,175.617,0.0
2017-04-01,15.3,82.029,0.0
2017-05-01,19.268,16.116,6.58
2017-06-01,24.986,0.0,98.015
2017-07-01,25.566,0.0,112.935
2017-08-01,25.63,0.0,114.194
2017-09-01,21.146,1.433,10.169
2017-10-01,18.743,21.964,0.467
2017-11-01,11.224,203.286,0.0
2017-12-01,7.905,312.947,0.0
2018-01-01,8.71,288.004,0.0
2018-02-01,7.221,301.808,0.0
2018-03-01,10.159,243.076,0.0
2018-04-01,13.768,127.054,0.0
2018-05-01,17.165,33.362,0.0
2018-06-01,21.793,1.214,41.014
2018-07-01,25.412,0.0,105.773
2018-08-01,26.318,0.0,133.851
2018-09-01,23.245,0.0,39.817
2018-10-01,16.349,65.635,0.0
2018-11-01,11.518,194.458,0.0
2018-12-01,9.101,275.867,0.0
2019-01-01,7.123,337.191,0.0
2019-02-01,9.667,233.323,0.0
2019-03-01,12.552,168.877,0.0
2019-04-01,13.099,147.036,0.0
2019-05-01,17.888,26.872,0.0
2019-06-01,22.476,0.513,45.372
2019-07-01,26.43,0.0,137.318
2019-08-01,25.707,0.0,114.92
2019-09-01,21.455,0.0,11.773
2019-10-01,17.645,44.935,0.0
2019-11-01,11.632,191.314,0.0
2019-12-01,10.096,245.024,0.0
2020-01-01,7.857,314.421,0.0
2020-02-01,11.541,187.322,0.0
2020-03-01,12.069,183.847,0.0
2020-04-01,14.087,117.39,0.0
2020-05-01,19.573,18.265,4.573
2020-06-01,22.048,0.891,36.859
2020-07-01,26.763,0.0,147.658
2020-08-01,25.82,0.0,123.604
2020-09-01,21.495,2.759,24.193
2020-10-01,15.48,83.951,0.0
2020-11-01,12.591,162.277,0.0
2020-12-01,8.766,286.239,0.0
2021-01-01,6.666,351.354,0.0
2021-02-01,10.978,196.612,0.0
2021-03-01,11.594,198.596,0.0
2021-04-01,13.487,135.4,0.0
2021-05-01,17.986,33.112,0.965
2021-06-01,22.37,0.0,33.447
2021-07-01,25.543,0.0,109.823
2021-08-01,25.689,0.0,114.838
2021-09-01,21.563,0.052,21.096
2021-10-01,17.31,30.264,0.0
2021-11-01,10.469,225.941,0.0
2021-12-01,9.791,254.467,0.0
2022-01-01,7.286,332.124,0.0
2022-02-01,10.469,210.879,0.0
2022-03-01,11.138,212.714,0.0
2022-04-01,13.09,147.288,0.0
2022-05-01,20.007,15.094,10.682
2022-06-01,24.467,0.0,74.856
2022-07-01,27.862,0.0,181.713
2022-08-01,27.056,0.0,156.749
2022-09-01,22.231,2.562,34.444
2022-10-01,19.254,2.856,0.0
2022-11-01,13.52,134.397,0.0
2022-12-01,10.816,222.695,0.0
2023-01-01,7.677,319.998,0.0
2023-02-01,8.121,276.601,0.0
2023-03-01,13.563,137.544,0.0
2023-04-01,17.098,45.405,0.0
2023-05-01,18.178,18.263,0.0
2023-06-01,23.111,0.0,53.283
2023-07-01,26.99,0.0,154.683
2023-08-01,27.163,0.0,160.038
2023-09-01,21.433,0.301,11.287
2023-10-01,18.988,29.466,3.958
2023-11-01,13.296,141.118,0.0
2023-12-01,8.822,284.512,0.0
2024-01-01,9.426,265.78,0.0
2024-02-01,10.987,203.382,0.0
2024-03-01,12.24,178.552,0.0
2024-04-01,14.84,96.732,0.0
2024-05-01,18.118,31.561,2.837
2024-06-01,22.03,0.0,24.152
2024-07-01,26.638,0.0,143.776
2024-08-01,27.18,0.0,160.581
2024-09-01,20.692,1.383,6.695
2024-10-01,17.453,37.36,0.0
2024-11-01,13.388,138.368,0.0
2024-12-01,8.732,287.309,0.0
2025-01-01,9.103,275.82,0.0
2025-02-01,10.003,223.915,0.0
2025-03-01,10.669,227.254,0.0
2025-04-01,14.747,97.584,0.0
2025-05-01,18.475,36.368,13.814
2025-06-01,26.315,0.0,130.705
2025-07-01,26.576,0.0,141.858
2025-08-01,27.569,0.0,172.636
2025-09-01,22.408,1.254,41.75
2025-10-01,18.653,17.255,0.0
2025-11-01,11.822,185.353,0.0
2025-12-01,9.199,272.836,0.0
